accident_ticker,died_of_age_ticker,died,new_borns,birth_ticker,death_ticker,population_num
1,1,"['Anita Comnick', 'Pedro Comnick']",['Larry Comnick'],1,2,171
1,0,['Barbara Denko'],"['Nicole Comnick', 'Nathan Comnick']",2,1,170
2,1,"['Richard Comnick', 'Debbie Comnick', 'William Denko']","['Robert Comnick', 'Brian Denko', 'Kevin Denko', 'Alejandro Denko', 'Mike Denko']",5,3,171
2,1,"['Leslie Denko', 'Harold Comnick', 'Ella Comnick']","['Arthur Comnick', 'Stephanie Comnick', 'Sara Comnick']",3,3,173
3,0,"['Crystal Comnick', 'Mary Comnick', 'Jin Comnick']","['Deborah Comnick', 'Marlene Denko', 'Arlene Comnick', 'Donnell Comnick', 'Paul Comnick', 'Barbara Comnick', 'Patty Comnick', 'Mary Comnick', 'Donald Comnick', 'Wanda Comnick', 'Derek Comnick', 'Christine Comnick']",12,3,173
2,0,"['Marlyn Comnick', 'Arthur Comnick']",['Bob Comnick'],1,2,182
3,0,"['Kristen Denko', 'Leah Comnick', 'Rita Comnick']","['Willie Denko', 'Michael Comnick', 'Portia Comnick', 'Latina Comnick', 'Lillian Comnick', 'Virgil Comnick', 'Hiram Denko', 'Anthony Comnick', 'Kevin Comnick', 'Anthony Comnick', 'Steven Comnick', 'Ana Comnick', 'Aletha Comnick', 'James Comnick', 'Lee Comnick', 'Joan Comnick', 'Victor Comnick', 'Ryan Comnick', 'Joyce Comnick', 'Sandra Comnick']",20,3,181
1,1,"['Kelly Comnick', 'Mark Denko']",['Alexander Comnick'],1,2,198
1,0,['Joseph Comnick'],"['Geraldine Comnick', 'Theresa Comnick', 'Stephen Denko', 'Teri Comnick', 'Krystal Comnick', 'Mayra Comnick', 'Karen Comnick', 'Janet Comnick', 'Alta Comnick', 'Anna Comnick', 'Brian Comnick', 'Grady Comnick', 'Mike Comnick', 'Donald Comnick', 'Anthony Comnick', 'Nickolas Comnick', 'Melissa Denko', 'Melanie Comnick', 'Tony Comnick', 'Juan Denko', 'Judith Comnick', 'Kimberly Comnick', 'Mitzi Comnick', 'Jennifer Comnick']",24,1,197
4,1,"['Lillian Denko', 'Eric Comnick', 'Jacqueline Denko', 'Latina Comnick', 'Melissa Denko']",[],0,5,220
1,0,['Tina Comnick'],"['Daniel Comnick', 'Lisa Comnick', 'Larry Comnick', 'Robert Comnick', 'Megan Denko', 'Angel Comnick', 'Arthur Comnick', 'Linda Comnick', 'Felicia Comnick', 'Brian Comnick', 'Colin Comnick', 'Irene Comnick', 'Charles Comnick', 'Christina Comnick', 'Kevin Denko', 'William Denko', 'Lucille Comnick', 'Justin Comnick', 'William Comnick', 'Catina Comnick', 'Grace Comnick', 'James Comnick', 'Christopher Comnick', 'Paul Comnick', 'Pauline Comnick']",25,1,215
0,2,"['Jonathan Denko', 'Edwin Comnick']",[],0,2,239
1,1,"['Charlotte Comnick', 'Laura Comnick']","['Denise Comnick', 'Joan Comnick', 'Michael Comnick', 'Donna Denko', 'Edward Comnick', 'Daniel Denko', 'Donald Comnick', 'Sergio Comnick', 'Timothy Denko', 'Shirley Denko', 'Mary Comnick', 'Orlando Comnick', 'Mary Comnick', 'Troy Comnick', 'Tristan Comnick', 'Michael Comnick', 'Brittany Comnick', 'Barbara Comnick']",18,2,237
3,3,"['Thelma Comnick', 'Annie Comnick', 'Everett Comnick', 'Edward Comnick', 'Nathan Comnick', 'Janet Comnick']",[],0,6,253
