accident_ticker,died_of_age_ticker,died,new_borns,birth_ticker,death_ticker,population_num
1,0,['Mary Columbus'],"['Kristina Columbus', 'Philip Columbus', 'Catalina Columbus', 'James Columbus', 'Luther Columbus', 'Lillian Columbus', 'Allison Columbus', 'Liliana Columbus', 'Gwen Columbus', 'Melvin Columbus', 'Joe Columbus', 'Brent Columbus', 'Liz Columbus', 'Roslyn Columbus']",14,1,454
1,2,"['William Columbus', 'David Columbus', 'Carroll Columbus']","['Jeanette Columbus', 'James Columbus', 'Dirk Columbus', 'Lisa Columbus', 'David Columbus', 'Diane Columbus', 'Dolores Columbus', 'Susan Columbus', 'Michael Columbus', 'Lisa Columbus', 'Janet Columbus', 'Angel Columbus', 'Kelly Columbus', 'Joanne Columbus', 'Harriett Columbus', 'Betty Columbus', 'Mary Columbus', 'April Columbus']",18,3,467
0,2,"['Tamara Columbus', 'Raymond Columbus']","['Gregory Columbus', 'Ruth Columbus', 'Florence Columbus', 'Robert Columbus', 'Christine Columbus', 'Karen Columbus', 'Dallas Columbus', 'Betty Columbus', 'Dale Columbus', 'Lonnie Columbus', 'Leslie Columbus', 'Javier Columbus', 'Jimmy Columbus', 'Jennifer Columbus', 'Paula Columbus', 'Ida Columbus', 'Randy Columbus']",17,2,482
1,2,"['Treena Columbus', 'Shawn Columbus', 'Jeanne Columbus']","['William Columbus', 'Otis Columbus', 'Thomas Columbus', 'Marlene Columbus', 'Maria Columbus', 'Doreen Columbus', 'Louis Columbus', 'Julie Ashmore', 'Dolores Columbus', 'Lloyd Columbus', 'Paul Columbus', 'Barbara Columbus', 'Barbara Columbus', 'Noe Columbus', 'Denice Columbus', 'Karen Columbus', 'Jessica Columbus', 'Dorothy Columbus', 'Laurie Columbus', 'Barbara Columbus', 'Chad Columbus', 'Gale Columbus']",22,3,497
1,3,"['Dwayne Ashmore', 'Michael Columbus', 'Edith Columbus', 'Nathan Columbus']","['James Columbus', 'Richard Columbus', 'Steven Columbus', 'Clifford Columbus', 'Barbara Columbus', 'Michele Columbus', 'Kenneth Columbus', 'Keisha Columbus', 'Donna Columbus', 'Rhonda Columbus', 'Marisela Ashmore', 'Ann Columbus', 'Christel Columbus', 'Edith Columbus', 'Maria Columbus', 'Roger Columbus', 'John Columbus']",17,4,516
0,1,['Dorothy Columbus'],"['Celia Columbus', 'Joseph Ashmore', 'Courtney Columbus', 'Rose Columbus', 'Louise Columbus', 'Martha Columbus', 'Sharyl Columbus', 'Sharon Columbus', 'James Columbus', 'Marie Columbus', 'Debora Columbus', 'Karen Columbus', 'Allie Columbus', 'Charles Columbus', 'Amanda Columbus', 'Felisha Columbus', 'Freddie Columbus']",17,1,529
3,2,"['Janna Columbus', 'Karen Columbus', 'Delmar Columbus', 'Therese Columbus', 'Eula Columbus']","['Norman Columbus', 'Opal Columbus', 'Marcia Columbus', 'Douglas Columbus', 'Ada Columbus', 'Everett Columbus', 'Jill Columbus', 'Dwayne Columbus', 'Meredith Columbus', 'Dennis Columbus', 'Robert Columbus', 'Sharon Columbus', 'Ena Columbus', 'Shelby Columbus', 'Micheal Columbus', 'Rosalia Columbus', 'John Columbus', 'Dora Columbus', 'David Columbus', 'Robert Columbus']",20,5,545
1,3,"['Martha Hauser', 'Dustin Columbus', 'Earl Columbus', 'Charlene Columbus']","['Louis Columbus', 'Thomas Columbus', 'Melanie Columbus', 'Christopher Columbus', 'Audrey Columbus', 'Thomas Columbus', 'Bessie Columbus', 'Allan Columbus', 'Araceli Columbus', 'Johanna Columbus', 'Michael Columbus', 'Christa Columbus', 'Raymond Columbus', 'Linda Columbus', 'Denise Columbus', 'Lois Columbus', 'Harold Columbus', 'Quentin Columbus']",18,4,560
1,2,"['Alease Columbus', 'Margaret Columbus', 'Susan Columbus']","['Brad Columbus', 'Billy Columbus', 'Demetrius Columbus', 'Shannon Columbus', 'Steve Columbus', 'Travis Columbus', 'Alice Columbus', 'Deborah Columbus', 'Billie Ashmore', 'Sheena Columbus', 'Lawrence Columbus']",11,3,574
3,2,"['Marie Hauser', 'Mario Columbus', 'Diane Columbus', 'Dirk Columbus', 'Billy Columbus']","['Luis Columbus', 'Betty Columbus', 'Michael Columbus', 'Doug Columbus', 'Joyce Columbus', 'Helen Columbus', 'James Columbus', 'Rhonda Columbus', 'Kathy Columbus', 'Vina Columbus', 'Erica Columbus', 'Carole Columbus', 'Aaron Columbus', 'Ryan Columbus', 'Miguel Columbus', 'Jamie Columbus', 'Paul Columbus', 'Jean Columbus', 'Roger Columbus', 'Ada Columbus', 'Tyler Columbus', 'Janice Columbus', 'Harold Columbus']",23,5,582
